time,-p1,-p2,-p3,-p4,-p5,-p6,-p7,-p8,-p9,-p99,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p99
500,340.44224687105,336.36056010726,324.20834322543,304.26309481377,276.98364071804,243.00387143,203.12266958278,158.28915553065,109.58264110115,58.18716463602,5.3610970044413,4.8287830237381,4.2952719794657,3.7606959990765,3.2251875198016,2.6888792503481,2.1519041324284,1.6143953021472,1.0764860512672,0.53830978837931,0
510,335.06745422161,331.04719041185,319.078493222,299.43647540128,272.57556198115,239.12271143974,199.86683425033,155.74369334256,107.81580992866,57.247328071979,5.2743359721482,4.7506273199217,4.2257438950663,3.6998153809545,3.1729717592623,2.6453432730612,2.1170603897595,1.5882537639122,1.0590541999232,0.52959261465949,0
520,329.77389709845,325.81452062005,314.02765432332,294.68580152647,268.23868295513,235.30602951231,196.66658650522,153.24274946618,106.08047025359,56.324455647622,5.1891624712279,4.6739028766613,4.157490021831,3.6400512295945,3.1217141106681,2.6026065279912,2.0828565609515,1.5625924694922,1.0419426581206,0.52103563983619,0
530,324.56081886395,320.66174569684,309.05488973636,290.0099586444,263.97171846492,231.55243414196,193.52054135366,150.78508718354,104.37567778024,55.418014136387,5.1055241534645,4.598562365257,4.0904681179152,3.581366450225,3.0713826792915,2.560642366066,2.0492712807453,1.5373953680637,1.0251407124946,0.51263350337899,0
540,319.42740587719,315.58801173148,304.15923639442,285.40783805007,259.77342371386,227.86060346783,190.42740078283,148.36955797557,102.700560704,54.527512931676,5.0233730152475,4.5245623933658,4.0246394613894,3.5237270442183,3.0219482363278,2.5194263683606,2.0162849736046,1.5126477543704,1.0086385482869,0.50438129452967,0
550,314.37279732584,310.59242468946,299.33971069951,280.87833832387,255.64259106333,224.22927801878,187.38594397029,145.99509124628,101.05431111508,53.652498946784,4.9426648734343,4.4518630299028,3.9599684252333,3.4671017351218,2.9733838967938,2.4789360765787,1.9838796373794,1.4883361060497,0.99242714069579,0.49627449791698,0
560,309.39609374822,305.6740579944,294.59531348442,276.42036655401,251.5780471959,220.65725436821,184.39501873703,143.66068535971,99.43617750364,52.792552169358,4.8633589085875,4.3804273910179,3.8964221069706,3.4114616427711,2.9256648388428,2.4391507581911,1.9520386547889,1.4644479418774,0.97649816019757,0.48830894616463,0
570,304.49636441522,300.83195909154,289.92503429607,272.03283936564,247.5786506131,217.14337958164,181.45353408358,141.36539981955,97.845458223615,51.947281785432,4.7854172668294,4.3102212792106,3.8339700058428,3.3567799992365,2.8787680591121,2.400051201726,1.9207466291067,1.4409716982127,0.96084389002425,0.48048077858453,0
580,299.67265371986,296.06515512516,285.32785508862,267.71468378248,243.64328942556,213.6865463553,178.56045366939,139.10834844374,96.281495790902,51.116322799161,4.708804712701,4.2412128686811,3.7725837413453,3.3030319011678,2.832672159422,2.3616195382934,1.8899892409063,1.4178966212792,0.94545715421852,0.47278640516446,0
590,294.92398670333,291.37265784477,280.80275340313,263.46483794331,239.7708793983,210.28568875692,175.71479011383,136.88869340539,94.743671908024,50.299333084068,4.6334883264156,4.1733724309229,3.712236807766,3.250194093817,2.7873571607609,2.3238390859421,1.8597531231315,1.3952126732263,0.93033125489257,0.46522247516294,0
600,290.24937382959,286.75346784051,276.34870510096,259.28225169277,235.96036221879,206.93977849122,172.91560001283,134.70564002811,93.231403121223,49.495990809898,4.5594372397517,4.1066720953439,3.6529043600588,3.1982447826375,2.7428043410221,2.2866942138916,1.8300257521229,1.3729104501883,0.91545991750061,0.45778584971517,0
610,285.64781510639,282.20657819508,271.96468670907,255.16588706331,232.21070395957,203.64782162282,170.16197957886,132.55843223825,91.744137028233,48.705992196524,4.4866224055826,4.0410856403764,3.5945630269934,3.1471634688818,2.6989960934121,2.2501702240611,1.8007953525269,1.3509811107831,0.90083724308413,0.45047357792972,0
620,281.1183036376,277.73097762808,267.64967742801,251.11471866292,228.52089371079,200.40885569775,167.45306082401,130.44634858934,90.281348965577,47.929049552588,4.4150163966932,3.9765883111365,3.5371907480559,3.0969308061011,2.6559158028614,2.2142532476624,1.7720508142978,1.3294163137045,0.88645766659034,0.44328287602466,0
630,276.6598286811,273.32565319902,263.40266084689,247.12773398142,224.88994236118,197.22194721251,164.78800821624,128.36869878487,88.842539113467,47.164889562112,4.3445932300938,3.9131566601955,3.4807666310246,3.047528474836,2.6135477381048,2.1789301549046,1.7437816202235,1.3082081632271,0.87231592047635,0.43621110910989,0
640,272.27137827666,268.98959262673,259.2226264036,243.20393362634,221.31688150873,194.08618938601,162.16601574772,126.3248206351,87.427229964395,46.413251787032,4.275328213542,3.8507684084821,3.4252708275554,2.9989390731551,2.571876957411,2.1441884761203,1.7159777826198,1.2873491616068,0.85840700291805,0.42925577527429,0
650,267.95194149995,264.72178627515,255.10857062396,239.34233149801,217.80076248482,191.00070019579,159.58630436255,124.31407739213,86.034964108512,45.673887357804,4.207197811396,3.7894023237072,3.370684424442,2.9511460209869,2.5308892261927,2.1100163328325,1.6886297880034,1.2668321674798,0.84472615002629,0.42241449167864,0
660,263.7005103917,260.52122884934,251.05949816871,235.54195491225,214.34065547746,187.96462064447,157.04811969743,122.33585541434,84.66530229494,44.946557827805,4.1401795273126,3.7290381140598,3.3169893485371,2.9041334764711,2.4905709449698,2.0764023774847,1.6617285487194,1.2466503594915,0.83126881155563,0.41568498239695,0
670,259.51608160438,256.38692083967,247.07442271392,231.80184467787,210.93564874142,184.97711322725,154.55073009521,120.38956211786,83.317821733486,44.231034170433,4.0742518016137,3.6696563351957,3.2641682835661,2.8578862627759,2.4509090863462,2.0433357407134,1.6352653606227,1.2267972044779,0.81803062965382,0.40906506777973,0
680,255.39765780362,252.31786974723,243.15236768669,228.12105513533,207.58484788424,182.03736057473,152.09342485628,118.47462417831,81.992114605787,43.527095900497,4.0093939214272,3.6112383088097,3.2122045973009,2.81238980403,2.4118911398385,2.0108059851903,1.6092318660321,1.2072664296116,0.8050074202592,0.40255265514275,0
690,251.34424885657,248.31309111938,239.29236687551,224.49865416205,204.28737521891,179.14456424866,149.67551269739,116.59048595039,80.687786758956,42.834530303923,3.9455859419634,3.5537660512974,3.1610822777627,2.7676300692004,2.3735050635464,1.9788030651896,1.5836200212814,1.1880519980044,0.79219515680711,0.39614573061153,0
700,247.35487283519,244.37160942045,235.49346493185,220.93372314915,201.04236917491,176.29794367131,147.2963203913,114.73660807764,79.404456558262,42.153131761812,3.8828086174874,3.4972222112093,3.1107858772868,2.7235935228872,2.3357392417833,1.9473172911428,1.5584220682719,1.1691480873189,0.77958995594555,0.38984235197162,0
710,243.42855685911,240.49245875932,231.75471777756,217.42535695369,197.84898376044,173.49673517151,144.95519156411,112.91246626775,78.141753878427,41.482701156754,3.8210433407431,3.4415900143634,3.0613004634401,2.6802670821492,2.298582447899,1.9163392985371,1.533630509513,1.150549071003,0.76718806500305,0.38364064239601,0
720,239.56433779901,236.6746834931,228.07519293087,213.97266383016,194.7063880697,170.7401911325,142.65148563027,111.1175502124,76.899319215747,40.823045350806,3.7602720897417,3.3868532156344,3.0126115759112,2.6376380785838,2.2620238116294,1.8858600206021,1.5092380862027,1.1322495018101,0.75498585098298,0.37753878493644,0
730,235.76126285935,232.91733872317,224.45396976172,210.57476534414,191.61376582972,168.0275792289,140.38457684772,109.35136263305,75.676802905562,40.173976725963,3.70047738097,3.332996056561,2.9647051886045,2.5956942249865,2.2260527903894,1.855870664297,1.4852377589577,1.1142440973118,0.74297979088871,0.37153501768108,0
740,232.01839005636,229.21949069816,220.89013968624,207.23079627106,188.57031498202,165.35818174154,138.15385347772,107.61341843663,74.473864431597,39.535312779097,3.6416422281931,3.2800032280251,2.9175676762715,2.554423586002,2.1906591440049,1.8263626891734,1.4616226908515,1.0965277271458,0.73116646320758,0.36562762949205,0
750,228.33478860532,225.58021713629,217.38280630864,203.93990448228,185.57524729497,162.73129494034,135.95871703643,105.9032439671,73.290171815419,38.906875764415,3.5837501061373,3.2278598373535,2.8711857850977,2.5138145522572,2.1558329124429,1.7973277887482,1.4383862324671,1.0790954017793,0.71954254040731,0.35981495624993,0
760,224.70953922937,221.99860747797,213.93108551767,200.70125082057,182.62778800328,160.14622852696,133.79858162627,104.22037634074,72.125401075802,38.288492377339,3.5267849184279,3.1765513792767,2.8255466067413,2.4738558175291,2.1215643961556,1.7687578740635,1.4155219087054,1.061942262592,0.70810478231342,0.35409537753908,0
770,221.14173440049,218.47376307807,210.53410554403,197.51400896672,179.72717547142,157.60230512951,131.67287333729,102.56436285449,70.979235749093,37.679993474549,3.4707309692348,3.1260637102484,2.7806375553756,2.4345363585584,2.0878441387029,1.7406450591524,1.3930234071234,1.0450635731089,0.69685003025518,0.34846731371772,0
780,217.63047852172,215.00479734629,207.19100698424,194.377365299,176.87266087828,155.09885984325,129.58102970963,100.93476045814,69.851366462831,37.081213825566,3.4155729381614,3.0763830257041,2.736446347363,2.3958454171755,2.0546629113677,1.7129816481724,1.3708845676106,1.0284547112409,0.68577520188392,0.34292922332466,0
790,214.17488805886,211.59083584253,203.90094279562,191.29051874651,174.06350792067,152.63523981129,127.52249924941,99.331135282211,68.741490555859,36.491991891879,3.3612958579534,3.0274958398763,2.692960983214,2.3577724844393,2.022011699503,1.685760123988,1.3490993732286,1.0121111623989,0.6748772865751,0.33747960077797,0
800,210.77409162844,208.23101633371,200.66307826662,188.25268063781,171.29899253354,150.21080384069,125.49674099144,97.753062214679,67.649311739057,35.912169630118,3.3078850946792,2.9793889678491,2.6501697315501,2.3203072865385,1.9898816903981,1.6589731380241,1.3276619420716,0.99602851337526,0.66415334134307,0.33211697433057,0
810,207.42723004817,204.9244888173,197.47659096603,185.26307454578,168.57840262515,147.82492204954,123.50322410294,96.200124520271,66.574539791578,35.341592316238,3.2553263300601,2.9320495095621,2.60806111481,2.2834397722256,1.9582642624648,1.6326135012239,1.3065665200115,0.98020244689136,0.65360048720055,0.32683990424829,0
820,204.13345635509,201.6704155164,194.34067067428,182.32093612946,165.90103782554,145.47697554135,121.54142752321,94.671913497097,65.516890288119,34.780108388064,3.2036055456862,2.8854648355221,2.5666238964841,2.2471601015971,1.9271509755819,1.6066741759762,1.2858074742233,0.96462873673132,0.64321590590935,0.32164698118365,0
830,200.89193579594,198.4679708504,191.25451929941,179.42551297376,163.26620924694,143.16635610349,119.61083963473,93.168028165944,64.476084353339,34.22756930389,3.1527090088746,2.839622574004,2.5258470696792,2.2114586360433,1.8965335624485,1.5811482688862,1.2653792873856,0.9493032433834,0.63299683707048,0.31653682471976,0
840,197.70184579391,195.3163413847,188.21735078022,176.57606442762,160.67323925494,140.89246592688,117.71095796212,91.688074988209,63.451848440058,33.683829415122,3.102623259966,2.7945105995557,2.4857198468515,2.1763259292253,1.8664039208205,1.5560290242855,1.245276552476,0.93422191012865,0.62294057551286,0.31150808206348,0
850,194.56237589504,192.21472576277,185.22839097851,173.77186144113,158.12146124921,138.65471734445,115.84128889528,90.231667608935,62.443914128266,33.148745851221,3.0533351008815,2.7501170226434,2.4462316505586,2.1417527189499,1.8367541065214,1.5313098183901,1.2254939680849,0.91938075951957,0.61304446894253,0.30655942686911,0
860,191.47272769748,189.16233462306,182.28687756229,171.01218640217,155.61021945309,136.45253258621,114.00134743408,88.798426621897,61.452017942388,32.622178415412,3.004831584779,2.7064301802952,2.407372105104,2.1077299198281,1.8075763271276,1.5069841540223,1.2060263341837,0.90477589020011,0.60330591581967,0.30168955817592,0
870,188.43211476602,186.15839050319,179.39205988147,168.29633297298,153.13886871096,134.28534354906,112.19065695182,87.387979354046,60.475901184555,32.10398948984,2.9571000066752,2.6634386276188,2.369131028964,2.0742486166234,1.7788629362467,1.4830456558292,1.1868685482899,0.89040347402446,0.59372236343548,0.29689719944602,0
880,185.43976253434,183.20212773335,176.54319883729,165.62360592685,150.70677429284,132.15259157969,110.40874897549,85.999959666997,59.515309781947,31.594043949006,2.9101278949151,2.6211311300867,2.3314984279006,2.0413000582023,1.7506064283165,1.4594880659361,1.1680156019823,0.87625975343857,0.58429130616412,0.29218109768949,0
890,182.4949081968,180.29279232083,173.73956674672,162.99332098552,148.31331170559,130.05372726923,108.65516298059,84.634007773519,58.569994146487,31.092209080485,2.8639030033815,2.579496656493,2.2944644886751,2.0088756520139,1.7227994338573,1.4363052399803,1.1494625777208,0.86234103909126,0.57501028386835,0.28754002266674,0
900,179.59680059164,177.429641827,170.98044720292,160.40480465724,145.95786651005,127.98821025817,106.92944619916,83.289770067252,57.639709045417,30.598354512037,2.8184133043592,2.5385243725026,2.2580195732916,1.9769669590352,1.6954347151267,1.4134911434799,1.131204645936,0.8486437076476,0.56587688044006,0.28297276615825,0
910,176.74470007691,174.61194523825,168.26513493237,157.85739407594,143.63983414375,125.9555090508,105.23115343925,81.966898964117,56.724213481468,30.112352144347,2.7736469819709,2.4982036347184,2.222154213703,1.9455656891237,1.6685051621248,1.3910398484974,1.1132370623543,0.83516419977976,0.5568887224593,0.27847814129358,0
920,173.93787840054,171.83898283181,165.59293564967,155.35043684154,141.35861974871,123.95510083786,103.55984691472,80.665052754067,55.823270581475,29.634076088737,2.7295924261182,2.4585239852061,2.1868591069271,1.9146636967305,1.6420037889088,1.3689455305613,1.0955551655302,0.82189901831365,0.54804347795746,0.27405498193262,0
930,171.17561856558,169.11004603774,162.96316591055,152.88329086168,139.11363800396,121.98647132682,101.91509608423,79.383895461989,54.936647492487,29.163402609239,2.6862382268681,2.4194751464237,2.1521251105238,1.8842529769303,1.6159237301822,1.3472024658169,1.0781543745637,0.80884472651417,0.53933885527292,0.26970214209311,0
940,168.45721469166,166.42443729767,160.37515296363,150.4553241949,136.90431296243,120.04911457897,100.29647749833,78.123096716756,54.064115284479,28.700210068564,2.6435731692322,2.3810470165041,2.1179432383884,1.8543256617305,1.5902582381228,1.3258050283782,1.0610301869772,0.79599794649107,0.53077260198725,0.26541849541829,0
950,165.78197187338,163.78146992112,157.82823460144,148.0659148954,134.73007789197,118.14253285263,98.703574653951,76.882331627509,53.205448858949,28.244378877471,2.601586228291,2.3432296648533,2.0843046568265,1.8248740166273,1.5650006794237,1.3047476878566,1.0441781767358,0.78335535771231,0.52234250393329,0.26120293468084,0
960,163.14920603648,161.18046794018,155.32175901113,145.71445085957,132.59037512018,116.266236452,97.13597785541,75.661280666404,52.360426862726,27.795791447205,2.5602665646295,2.3060133280283,2.0512006808796,1.7958904373823,1.5401445325246,1.2840250070495,1.0275939923953,0.77091369561312,0.51404638426706,0.25705437131851,0
970,160.55824379233,158.62076596285,152.85508462517,143.40032967417,130.48465588283,114.41974358115,95.593284081361,74.459629557123,51.52883160643,27.354332144616,2.519603520043,2.2693884058608,2.0186227708696,1.7673674469916,1.5156833850082,1.2636316397667,1.0112733553606,0.75866975028862,0.50588210259534,0.25297173499766,0
980,158.00842229131,156.10170902568,150.42757997241,141.12295846646,128.41238017577,112.6025802026,94.075096857073,73.277069168567,50.710448987077,26.919887249695,2.4795866134846,2.2333454577988,1.9865625291393,1.739297692827,1.4916109311451,1.2435623287811,0.99521205824423,0.74662036526098,0.49784755415326,0.24895397320196,0
990,155.49908907554,153.62265244616,148.03862352972,138.88175375605,126.37301660991,110.81427990033,92.581026131552,72.113295413206,49.905068414404,26.492344915264,2.4402055372322,2.1978751994487,1.9550116969702,1.7116739439338,1.467920969573,1.2238119038918,0.97940596331456,0.7347624363151,0.48994066902756,0.24500005084381,0
1000,153.02960193131,151.18296167503,145.68760357439,136.67614130882,124.36604226939,109.05438374667,91.110688159066,70.968009149608,49.112482740524,26.071595128584,2.4014501532454,2.1629684992868,1.9239621516533,1.6844890884621,1.4446074010915,1.2043752800831,0.96385100102148,0.72309291039111,0.48215941141769,0.24110894989471,0
